room_id,size,building,floor,outlets,monitor,whiteboard
LC416,1,Dibner,4,TRUE,FALSE,FALSE
LC417,1,Dibner,4,TRUE,FALSE,FALSE
LC418,1,Dibner,4,TRUE,FALSE,FALSE
LC419,1,Dibner,4,TRUE,FALSE,FALSE
LC420,1,Dibner,4,TRUE,FALSE,FALSE
LC421,1,Dibner,4,TRUE,FALSE,FALSE
LC422,1,Dibner,4,TRUE,FALSE,FALSE
LC423,1,Dibner,4,TRUE,FALSE,FALSE
LC425,1,Dibner,4,TRUE,FALSE,FALSE
LC426,1,Dibner,4,TRUE,FALSE,FALSE
LC427,1,Dibner,4,TRUE,FALSE,FALSE
LC428,1,Dibner,4,TRUE,FALSE,FALSE
LC429,1,Dibner,4,TRUE,FALSE,FALSE
LC430,1,Dibner,4,TRUE,FALSE,FALSE
LC431,1,Dibner,4,TRUE,FALSE,FALSE
LC435,1,Dibner,4,TRUE,FALSE,FALSE
LC436,1,Dibner,4,TRUE,FALSE,FALSE
LC437,1,Dibner,4,TRUE,FALSE,FALSE
LC438,1,Dibner,4,TRUE,FALSE,FALSE
LC439,1,Dibner,4,TRUE,FALSE,FALSE
LC323,5,Dibner,3,TRUE,TRUE,TRUE
LC324,5,Dibner,3,TRUE,TRUE,TRUE
LC325,5,Dibner,3,TRUE,TRUE,TRUE
LC326,5,Dibner,3,TRUE,TRUE,TRUE
LC327,5,Dibner,3,TRUE,TRUE,TRUE
LC328,5,Dibner,3,TRUE,TRUE,TRUE
LC329,5,Dibner,3,TRUE,TRUE,TRUE
LC330,5,Dibner,3,TRUE,TRUE,TRUE
LC331,5,Dibner,3,TRUE,TRUE,TRUE
LC332,5,Dibner,3,TRUE,TRUE,TRUE
LC333,5,Dibner,3,TRUE,TRUE,TRUE
LC334,5,Dibner,3,TRUE,TRUE,TRUE
LC335,5,Dibner,3,TRUE,TRUE,TRUE
LC339,5,Dibner,3,TRUE,TRUE,TRUE
LC340,5,Dibner,3,TRUE,TRUE,TRUE
LC432,5,Dibner,4,TRUE,TRUE,TRUE
LC434,5,Dibner,4,TRUE,TRUE,TRUE
LC445,8,Dibner,4,TRUE,TRUE,TRUE
LC445A,8,Dibner,4,TRUE,TRUE,TRUE
LC445B,8,Dibner,4,TRUE,TRUE,TRUE
LC445C,8,Dibner,4,TRUE,TRUE,TRUE
